STT,Ky_hieu,X,Y,
1,SG1,11.288362,106.354632,89
2,SG2,10.98188,106.643388,86
3,SG3,10.866765,106.713297,81
4,RSG1,11.001424,106.642671,75
5,RSG2,11.00175,106.648331,77
6,RSG8,11.08327,106.535469,58
7,RSG3,10.984441,106.654791,72
8,RSG4,10.953611,106.67778,71
9,RSG5,10.943334,106.690834,80
10,RSG6,10.872474,106.714074,78
11,RSG7,10.887289,106.732026,72
12,RSG9,10.898867,106.715568,65
13,RSG10,10.895775,106.719744,64
14,RSG11,10.980017,106.740502,65
15,DN1,11.014418,106.77798,95
16,DN2,11.010711,106.779418,96
17,DN3,11.052521,106.721474,98
18,DN4,10.976152,106.771908,97
19,RDN7,11.065765,106.922701,90
20,RDN8,11.09169,106.701594,87
21,RDN1,11.011557,106.753498,78
22,RDN2,10.98276,106.758728,70
23,RDN3,10.9975,106.768746,79
24,RDN4,10.980492,106.769632,82
25,RDN5,10.916945,106.805557,72
26,RDN6,10.900194,106.816426,83
27,STT1,11.240833,106.492226,78
28,STT2,11.100569,106.597085,72
29,STT3,11.038926,106.611089,75
30,RTT1,11.323385,106.473527,92
31,RTT2,11.153991,106.585893,72
32,SB,11.252467,106.757934,94
33,KTL1,11.401166,106.710599,95
34,KTL2,11.357853,106.631118,95
