Ten_diem,X,Y,
SG1,11.288362,106.354632,93
SG2,10.98188,106.643388,90
SG3,10.866765,106.713297,84
RSG1,11.001424,106.642671,72
RSG2,11.00175,106.648331,74
RSG8,11.08327,106.535469,69
RSG3,10.984441,106.654791,72
RSG4,10.953611,106.67778,73
RSG5,10.943334,106.690834,72
RSG6,10.872474,106.714074,77
RSG7,10.887289,106.732026,75
RSG9,10.898867,106.715568,69
RSG10,10.895775,106.719744,68
RSG11,10.980017,106.740502,70
DN1,11.014418,106.77798,98
DN2,11.010711,106.779418,98
DN3,11.052521,106.721474,97
DN4,10.976152,106.771908,98
RDN7,11.065765,106.922701,98
RDN8,11.09169,106.701594,79
RDN1,11.011557,106.753498,81
RDN2,10.98276,106.758728,74
RDN3,10.9975,106.768746,78
RDN4,10.980492,106.769632,84
RDN5,10.916945,106.805557,70
RDN6,10.900194,106.816426,82
STT1,11.240833,106.492226,79
STT2,11.100569,106.597085,83
STT3,11.038926,106.611089,84
RTT1,11.323385,106.473527,91
RTT2,11.153991,106.585893,79
SB,11.252467,106.757934,99
KTL1,11.401166,106.710599,98
KTL2,11.357853,106.631118,98
